id,component,standard,edition,clause,table,profile,derivation,verification,status
MOTION-001,Chroma motion mapping and fractional-sample interpolation,GB/T 20090.2,2013,9.10.2.1;9.10.2.3,"Figure 43",0x20;0x48,"Direct YUV420/YUV422 vector mapping and bilinear formula implementation for 1/8 and 1/16 chroma-sample precision with normative nearest-edge replacement","Format mapping overflow integer fractional negative-vector extreme-edge padded-stride arbitrary-block invalid-geometry and atomic-output vectors",implemented
MOTION-002,Luma quarter-sample interpolation,GB/T 20090.2,2013,9.10.2.1;9.10.2.2,"Figure 42; F1; F2",0x20;0x48,"Direct phase-formula implementation preserving normative intermediate precision; F1 coefficients cross-checked against former implementation and F1/F2 checked against the standard","All 16 phases integer and padded strides negative and extreme vectors independent edge replacement clipping invalid geometry atomic output and block vectors",implemented
MOTION-003,Luma eighth-sample interpolation,GB/T 20090.2,2013,9.10.2.1;9.10.2.2,"Figure 42; Table 72; H1; H2",0x48,"Direct Table 72 phase classification with normative H1/H2 transcription and half-grid bilinear formulas preserving intermediate precision","All 64 phases quarter-phase equivalence fixed H1/H2 vectors negative and extreme vectors edge replacement clipping padded strides in-place output invalid geometry and fuzz vectors",implemented
MOTION-004,Luma motion-vector prediction and difference decoding,GB/T 20090.2,2013,9.4.6.2-9.4.6.3,"Figures 18; 32",0x20;0x48,"Direct neighbor normalization reference shortcut BlockDistance scaling distance-median selection and range implementation; profile-0x24 field offsets are outside project scope","A/B/C/D availability C-to-D fallback single candidate all four partition shortcuts scaling rounding all median branches quarter/eighth ranges overflow and atomic-output vectors",implemented
MOTION-005,Special-mode luma motion derivation,GB/T 20090.2,2013,9.10.1,"Figures 36-41",0x20;0x48,"Authorized former main:libcavs.c mv_pred mv_pred_sym and mv_pred_direct behavior ported into stateless APIs and checked branch-by-branch against normative formulas; target-profile field offsets are zero","P_Skip availability normalized-zero and predictor paths symmetric frame-field reference mapping signed rounding B_Direct temporal and frame-field scaling range rejection atomic output and fuzz vectors",implemented
RECON-006,Baseline basic-entropy macroblock reconstruction,GB/T 20090.2,2013,9.5.3;9.7.1-9.8.2;9.11,"Figures 33-34; Table 70; Table 71; T8",0x20,"Sequential composition of inverse scan, default basic-entropy inverse quantization, inverse transform, and sample reconstruction for the six YUV420 macroblock blocks","Coded and uncoded luma/chroma blocks, bidirectional and single prediction, chroma-QP mapping, malformed-block range rejection, and atomic output vectors",implemented
PRED-003,Baseline 8x8 intra macroblock mode assembly,GB/T 20090.2,2013,9.4.4,"Tables 64-66",0x20,"Direct implementation of pred_mode_flag reuse and relative mode remapping, followed by Table 65/66 mode dispatch for four luma and two chroma blocks","Explicit and predicted luma modes, all resolved mode ranges, shared Cb/Cr chroma mode, missing-reference rejection, malformed syntax rejection, and atomic output vectors",implemented
RECON-007,Baseline single-block reconstruction integration,GB/T 20090.2,2013,9.5.3;9.7.1-9.8.2;9.11,"Figures 33-34; Table 70; Table 71; T8",0x20,"Engineering extraction of one block from RECON-006; introduces no new codec decision","Decoder-owned block placement, coded and uncoded blocks, invalid QP/scan and atomic output",implemented
DECODER-001,Baseline progressive I picture assembly and frame event ownership,GB/T 20090.2,2013,6.2;7.1.3.6-7.1.3.8;9.1;9.4;9.11,"Tables 26-28",0x20,"Decoder-owned composition of implemented syntax prediction and reconstruction modules; allocation and event queuing introduce no codec decision","Synthetic complete I picture, truncated picture suppression, PTS/DTS metadata, flush and reference lifetime",partial
STATE-001,Unified broadcast macroblock picture and DPB contracts,GB/T 20090.16,2016,6.2;6.5;7.4-7.6;9.1-9.6,"Figures 14-20; Tables 25-27; Tables 55-56",0x48,"Normalized decoder-owned state for syntax reconstruction filtering reference selection and display queuing","Module contract compile checks and focused component tests",partial
FILTER-001,Loop-filter boundary strength derivation,GB/T 20090.16; GB/T 20090.2,2016; 2013,9.11.2; 9.12.2,,0x20;0x48,"Direct prediction-type reference-index and motion-vector comparison over unified 8x8 block metadata; motion precision is caller-selected","Strict C99 warning-clean compile; focused vectors deferred until feature integration",partial
FILTER-002,Loop-filter thresholds and luma/chroma sample kernels,GB/T 20090.16; GB/T 20090.2,2016; 2013,9.11.3-9.11.5; 9.12.3-9.12.5,"Figures 34; 46; Tables 64-65; Tables 73-74",0x20;0x48,"Normative threshold tables and direct Bs=1/Bs=2 sample formulas with portable signed division and eight-bit clipping","Tables checked independently against both standards; strict C99 warning-clean compile",partial
FILTER-003,Picture macroblock and field traversal for loop filtering,GB/T 20090.16; GB/T 20090.2,2016; 2013,9.11.1; 9.12.1,"Figures 32-33; Figures 44-45",0x20;0x48,"Decoder-owned composition filters vertical then horizontal edges excludes picture and slice boundaries and maps field halves to interleaved physical lines","Static geometry and metadata preflight plus strict C99 warning-clean compile; sample integration pending",partial
RECON-008,Successive-field coordinate mapping and frame assembly,GB/T 20090.16,2016,3.25;6.2;6.3;9.8.2,"Figures 1; 3",0x48,"Physical top and bottom field views use alternating frame-plane lines while syntax row halves follow top_field_first; storage helpers introduce no codec decision","C99 warning-clean module compile and CCTV-9 row 0/18 mapping audit",implemented
RECON-009,Broadcast default-weight 8x8 inverse quantization and transform,GB/T 20090.16,2016,9.5-9.7,"Figures 22-23; Table 62; T8 matrix",0x48,"Already inverse-scanned row-major quant coefficients use the normative default weight 128 dequantization formula and separable T8 transform; weighted quantization is explicitly rejected","C99 warning-clean module compile and composition with retained scalar transform",implemented
RECON-010,Compatible 4x4 inverse quantization and transform,GB/T 20090.2,2013,9.7.2;9.8.1;9.8.3,"Table 71; T4 matrix",0x20,"Already inverse-scanned row-major quant coefficients use the normative default-weight formula and separable T4 transform; caller supplies the effective QP after any VBS shift","C99 warning-clean module compile and scalar range audit",implemented
PRED-004,Unfiltered same-field intra reconstruction,GB/T 20090.16,2016,6.3;9.8;9.10,"Figure 13; Tables 59-60",0x48,"Intra references are acquired from atomically staged current-macroblock samples or already committed macroblocks in the same slice and physical field; the other frame-line parity is never exposed","C99 warning-clean module compile and row 0/18 field-plane audit",partial
STATE-002,Continuous multi-row slice reconstruction cursor,GB/T 20090.16,2016,6.3;7.4;9.3,"Figure 3; Table 25",0x48,"An opaque stateful entropy callback atomically supplies complete frozen-contract macroblocks; strict end offsets advance raster order across all field rows until callback-validated AEC payload end","C99 warning-clean module compile and callback contract audit",partial
MOTION-006,Broadcast P and B macroblock motion assembly,GB/T 20090.16,2016,9.4.6;9.9.1,"Tables 55-57; Figures 24-29",0x48,"Stateless adapter composes neighbor prediction decoded differences P_Skip symmetric and blockwise B_Direct derivation into the unified partition contract; an I second field uses the normative predicted-field P path","GCC and Clang strict C99 module compile; sample integration and focused vectors pending",partial
MOTION-007,PB-field-enhanced direct motion derivation,GB/T 20090.16,2016,9.9.1,"Figures 26-27",0x48,"Explicit current reference and co-located field identities select field reference lists and apply normative deltaRef deltaFw and deltaBw vertical corrections without global decoder state","GCC and Clang strict C99 module compile; CCTV-9 integration pending",partial
MOTION-008,Broadcast YUV420 macroblock motion compensation,GB/T 20090.16,2016,9.9.2-9.9.3,"Table 63",0x48,"Unified partition vectors select full-frame or physical-field plane views then reuse scalar luma/chroma interpolation and rounded bidirectional averaging to fill the reconstruction prediction contract atomically","GCC and Clang strict C99 module compile; first-I-second-field and P/B sample integration pending",partial
ENTROPY-002,Broadcast advanced entropy arithmetic and context decoding,GB/T 20090.16,2016,8.4,"Table 51; normative Annex E",0x48,"Direct bounded implementation of slice context initialization regular weighted bypass and stuffing-bin arithmetic decoding without global state","CCTV-9 first-I-picture two-field arithmetic closure and former implementation value cross-check",implemented
SYNTAX-014,Broadcast advanced-entropy YUV420 macroblock syntax,GB/T 20090.16,2016,7.4-7.6;8.3-8.4;9.2-9.8,"Tables 25; 44-57; Figures 22-23",0x48,"Direct I/P/B type partition reference MVD CBP QP and coefficient parsing into the frozen row-major 8x8 contract; former implementation used only for value cross-check","CCTV-9 first I/P/B pictures with 1620 macroblocks and two-field slice closure",implemented
DPB-001,Frame and successive-field reference selection,"GB/T 20090.16; GB/T 20090.2","2016; 2013","6.5; 9.4.5-9.4.6.1; 9.5-9.6.1","Figures 14-20; Figures 22-28",0x20;0x48,"The two most recent decoded I/P pictures are retained as frame or physical-field entries; direction-specific reference indices are ordered by modular DistanceIndex distance and capped by the normative picture-type structure cases","C99 warning-clean module compile and normative figure branch audit",partial
DPB-002,Co-located frozen macroblock lookup,GB/T 20090.16,2016,9.4.5;9.9.1,"Figures 14-20; Figures 24-29",0x48,"A selected backward or forward reference is mapped from a luma frame-sample position to frozen frame-coded or successive-field macroblock metadata and its containing 8x8 block","C99 warning-clean module compile and frame-field coordinate audit",partial
DPB-003,Display reorder queue and drain,GB/T 20090.16,2016,6.4,,0x48,"I/P pictures retain one delayed anchor while B pictures enter output immediately; EOF and sequence-end share the same idempotent drain transition and bounded four-picture output queue","C99 warning-clean module compile ownership and backpressure audit",partial
